kind	name	category	signature	module	doc
class	Rotate	animation/rotation	(mobject: 'Mobject', angle: 'float' = 3.141592653589793, axis: 'np.ndarray' = array([0., 0., 1.]), run_time: 'float' = 1, rate_func: 'Callable[[float], float]' = <function smooth at 0x7f6ff39332e0>, about_edge: 'np.ndarray' = array([0., 0., 0.]), **kwargs)	manimlib.animation.rotation	
class	Rotating	animation/rotation	(mobject: 'Mobject', angle: 'float' = 6.283185307179586, axis: 'np.ndarray' = array([0., 0., 1.]), about_point: 'np.ndarray | None' = None, about_edge: 'np.ndarray | None' = None, run_time: 'float' = 5.0, rate_func: 'Callable[[float], float]' = <function linear at 0x7f6ff3932de0>, suspend_mobject_updating: 'bool' = False, **kwargs)	manimlib.animation.rotation	
constant	TAU	animation/rotation	6.283185307179586	manimlib.animation.rotation	
constant	TYPE_CHECKING	animation/rotation	False	manimlib.animation.rotation	
constant	BLACK	animation/specialized	'#000000'	manimlib.animation.specialized	
class	Broadcast	animation/specialized	(focal_point: 'np.ndarray', small_radius: 'float' = 0.0, big_radius: 'float' = 5.0, n_circles: 'int' = 5, start_stroke_width: 'float' = 8.0, color: 'ManimColor' = '#FFFFFF', run_time: 'float' = 3.0, lag_ratio: 'float' = 0.2, remover: 'bool' = True, **kwargs)	manimlib.animation.specialized	
constant	TYPE_CHECKING	animation/specialized	False	manimlib.animation.specialized	
constant	WHITE	animation/specialized	'#FFFFFF'	manimlib.animation.specialized	
class	ApplyComplexFunction	animation/transform	(function: 'Callable[[complex], complex]', mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	ApplyFunction	animation/transform	(function: 'Callable[[Mobject], Mobject]', mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	ApplyMatrix	animation/transform	(matrix: 'npt.ArrayLike', mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	ApplyMethod	animation/transform	(method: 'Callable', *args, **kwargs)	manimlib.animation.transform	
class	ApplyPointwiseFunction	animation/transform	(function: 'Callable[[np.ndarray], np.ndarray]', mobject: 'Mobject', run_time: 'float' = 3.0, **kwargs)	manimlib.animation.transform	
class	ApplyPointwiseFunctionToCenter	animation/transform	(function: 'Callable[[np.ndarray], np.ndarray]', mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	CyclicReplace	animation/transform	(*mobjects: 'Mobject', path_arc=1.5707963267948966, **kwargs)	manimlib.animation.transform	
constant	DEG	animation/transform	0.017453292519943295	manimlib.animation.transform	
class	FadeToColor	animation/transform	(mobject: 'Mobject', color: 'ManimColor', **kwargs)	manimlib.animation.transform	
class	MoveToTarget	animation/transform	(mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
constant	OUT	animation/transform	array([0., 0., 1.])	manimlib.animation.transform	
class	ReplacementTransform	animation/transform	(mobject: 'Mobject', target_mobject: 'Mobject | None' = None, path_arc: 'float | Tuple[float, float]' = 0.0, path_arc_axis: 'np.ndarray' = array([0., 0., 1.]), path_func: 'Callable | None' = None, **kwargs)	manimlib.animation.transform	
class	Restore	animation/transform	(mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	ScaleInPlace	animation/transform	(mobject: 'Mobject', scale_factor: 'npt.ArrayLike', **kwargs)	manimlib.animation.transform	
class	ShrinkToCenter	animation/transform	(mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	Swap	animation/transform	(*mobjects: 'Mobject', path_arc=1.5707963267948966, **kwargs)	manimlib.animation.transform	Alternate name for CyclicReplace
constant	TYPE_CHECKING	animation/transform	False	manimlib.animation.transform	
constant	TYPE_CHECKING	animation/transform	False	manimlib.animation.transform_matching_parts	
class	Transform	animation/transform	(mobject: 'Mobject', target_mobject: 'Mobject | None' = None, path_arc: 'float | Tuple[float, float]' = 0.0, path_arc_axis: 'np.ndarray' = array([0., 0., 1.]), path_func: 'Callable | None' = None, **kwargs)	manimlib.animation.transform	
class	TransformFromCopy	animation/transform	(mobject: 'Mobject', target_mobject: 'Mobject', **kwargs)	manimlib.animation.transform	
class	TransformMatchingParts	animation/transform	(source: 'Mobject', target: 'Mobject', matched_pairs: 'Iterable[tuple[Mobject, Mobject]]' = [], match_animation: 'type' = <class 'manimlib.animation.transform.Transform'>, mismatch_animation: 'type' = <class 'manimlib.animation.transform.Transform'>, run_time: 'float' = 2, lag_ratio: 'float' = 0, **kwargs)	manimlib.animation.transform_matching_parts	
class	TransformMatchingShapes	animation/transform	(source: 'Mobject', target: 'Mobject', matched_pairs: 'Iterable[tuple[Mobject, Mobject]]' = [], match_animation: 'type' = <class 'manimlib.animation.transform.Transform'>, mismatch_animation: 'type' = <class 'manimlib.animation.transform.Transform'>, run_time: 'float' = 2, lag_ratio: 'float' = 0, **kwargs)	manimlib.animation.transform_matching_parts	Alias for TransformMatchingParts
class	TransformMatchingStrings	animation/transform	(source: 'StringMobject', target: 'StringMobject', matched_keys: 'Iterable[str]' = [], key_map: 'dict[str, str]' = {}, matched_pairs: 'Iterable[tuple[VMobject, VMobject]]' = [], **kwargs)	manimlib.animation.transform_matching_parts	
class	TransformMatchingTex	animation/transform	(source: 'StringMobject', target: 'StringMobject', matched_keys: 'Iterable[str]' = [], key_map: 'dict[str, str]' = {}, matched_pairs: 'Iterable[tuple[VMobject, VMobject]]' = [], **kwargs)	manimlib.animation.transform_matching_parts	Alias for TransformMatchingStrings
constant	BLACK	camera	'#000000'	manimlib.camera.camera	
constant	COLOR_FORMAT	camera	'rgba8unorm'	manimlib.camera.camera	
constant	COMMON_UNIFORMS	camera	(('is_fixed_in_frame', 1), ('shading', 3), ('clip_plane0', 4), ('clip_plane1', 4), ('clip_plane2', 4), ('clip_plane3'...	manimlib.camera.camera_frame	
class	Camera	camera	(window: 'Optional[Window]' = None, frame_config: 'dict' = {}, resolution=(1920, 1080), fps: 'int' = 30, background_color: 'ManimColor' = '#000000', background_opacity: 'float' = 1.0, light_source_position: 'Vect3' = array([-10,  10,  10]), bundle_draws: 'bool' = True, draw_together: 'bool' = True, samples: 'int' = 0)	manimlib.camera.camera	
class	CameraFrame	camera	(frame_shape: 'tuple[float, float]' = (14.222222222222221, 8.0), center_point: 'Vect3' = array([0., 0., 0.]), fovy: 'float' = 0.7853981633974483, euler_axes: 'str' = 'zxz', z_index=-1, **kwargs)	manimlib.camera.camera_frame	Mathematical Object
constant	DEFAULT_RESOLUTION	camera	(1920, 1080)	manimlib.camera.camera	
constant	DEG	camera	0.017453292519943295	manimlib.camera.camera_frame	
constant	DEPTH_STENCIL_FORMAT	camera	'depth24plus-stencil8'	manimlib.camera.camera	
constant	DOWN	camera	array([ 0., -1.,  0.])	manimlib.camera.camera_frame	
constant	FRAME_HEIGHT	camera	8.0	manimlib.camera.camera	
constant	FRAME_SHAPE	camera	(14.222222222222221, 8.0)	manimlib.camera.camera_frame	
constant	FRAME_WIDTH	camera	14.222222222222221	manimlib.camera.camera	
class	FrameStream	camera	(camera: 'Camera', sink, behind: 'int' = 1)	manimlib.camera.camera	Frames off the gpu and into somewhere they are being written, staying a frame behind so
constant	LEFT	camera	array([-1.,  0.,  0.])	manimlib.camera.camera_frame	
constant	ORIGIN	camera	array([0., 0., 0.])	manimlib.camera.camera_frame	
constant	OUT	camera	array([0., 0., 1.])	manimlib.camera.camera_frame	
constant	PI	camera	3.141592653589793	manimlib.camera.camera_frame	
constant	RADIANS	camera	1	manimlib.camera.camera_frame	
constant	RIGHT	camera	array([1., 0., 0.])	manimlib.camera.camera_frame	
constant	TYPE_CHECKING	camera	False	manimlib.camera.camera	
constant	TYPE_CHECKING	camera	False	manimlib.camera.camera_frame	
class	ThreeDCamera	camera	(samples: 'int' = 4, **kwargs)	manimlib.camera.camera	
constant	UP	camera	array([0., 1., 0.])	manimlib.camera.camera_frame	
constant	ASPECT_RATIO	constants	1.7777777777777777	manimlib.constants	
constant	BLACK	constants	'#000000'	manimlib.constants	
constant	BLUE	constants	'#58C4DD'	manimlib.constants	
constant	BLUE_A	constants	'#C7E9F1'	manimlib.constants	
constant	BLUE_B	constants	'#9CDCEB'	manimlib.constants	
constant	BLUE_C	constants	'#58C4DD'	manimlib.constants	
constant	BLUE_D	constants	'#29ABCA'	manimlib.constants	
constant	BLUE_E	constants	'#1C758A'	manimlib.constants	
constant	BOLD	constants	'BOLD'	manimlib.constants	
constant	BOTTOM	constants	array([ 0., -4.,  0.])	manimlib.constants	
constant	COLORMAP_3B1B	constants	['#1C758A', '#83C167', '#FFFF00', '#FC6255']	manimlib.constants	
constant	DARK_BROWN	constants	'#8B4513'	manimlib.constants	
constant	DEFAULT_LIGHT_COLOR	constants	'#BBBBBB'	manimlib.constants	
constant	DEFAULT_MOBJECT_COLOR	constants	'#FFFFFF'	manimlib.constants	
constant	DEFAULT_MOBJECT_TO_EDGE_BUFF	constants	0.5	manimlib.constants	
constant	DEFAULT_MOBJECT_TO_MOBJECT_BUFF	constants	0.25	manimlib.constants	
constant	DEFAULT_PIXEL_HEIGHT	constants	1080	manimlib.constants	
constant	DEFAULT_PIXEL_WIDTH	constants	1920	manimlib.constants	
constant	DEFAULT_RESOLUTION	constants	(1920, 1080)	manimlib.constants	
constant	DEFAULT_STROKE_WIDTH	constants	4.0	manimlib.constants	
constant	DEFAULT_VMOBJECT_FILL_COLOR	constants	'#888888'	manimlib.constants	
constant	DEFAULT_VMOBJECT_STROKE_COLOR	constants	'#DDDDDD'	manimlib.constants	
constant	DEG	constants	0.017453292519943295	manimlib.constants	
constant	DEGREES	constants	0.017453292519943295	manimlib.constants	
constant	DL	constants	array([-1., -1.,  0.])	manimlib.constants	
constant	DOWN	constants	array([ 0., -1.,  0.])	manimlib.constants	
constant	DR	constants	array([ 1., -1.,  0.])	manimlib.constants	
constant	FRAME_HEIGHT	constants	8.0	manimlib.constants	
constant	FRAME_SHAPE	constants	(14.222222222222221, 8.0)	manimlib.constants	
constant	FRAME_WIDTH	constants	14.222222222222221	manimlib.constants	
constant	FRAME_X_RADIUS	constants	7.111111111111111	manimlib.constants	
constant	FRAME_Y_RADIUS	constants	4.0	manimlib.constants	
constant	GOLD	constants	'#F0AC5F'	manimlib.constants	
constant	GOLD_A	constants	'#F7C797'	manimlib.constants	
constant	GOLD_B	constants	'#F9B775'	manimlib.constants	
constant	GOLD_C	constants	'#F0AC5F'	manimlib.constants	
constant	GOLD_D	constants	'#E1A158'	manimlib.constants	
constant	GOLD_E	constants	'#C78D46'	manimlib.constants	
constant	GREEN	constants	'#83C167'	manimlib.constants	
constant	GREEN_A	constants	'#C9E2AE'	manimlib.constants	
constant	GREEN_B	constants	'#A6CF8C'	manimlib.constants	
constant	GREEN_C	constants	'#83C167'	manimlib.constants	
constant	GREEN_D	constants	'#77B05D'	manimlib.constants	
constant	GREEN_E	constants	'#699C52'	manimlib.constants	
constant	GREEN_SCREEN	constants	'#00FF00'	manimlib.constants	
constant	GREY	constants	'#888888'	manimlib.constants	
constant	GREY_A	constants	'#DDDDDD'	manimlib.constants	
constant	GREY_B	constants	'#BBBBBB'	manimlib.constants	
constant	GREY_BROWN	constants	'#736357'	manimlib.constants	
constant	GREY_C	constants	'#888888'	manimlib.constants	
constant	GREY_D	constants	'#444444'	manimlib.constants	
